"filename", "language", "YAML", "Properties", "Dart", "Groovy", "Swift", "C++", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\flutterprojects\idea_ecommerce_app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 17
"d:\flutterprojects\idea_ecommerce_app\analysis_options.yaml", "YAML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 30
"d:\flutterprojects\idea_ecommerce_app\android\app\build.gradle", "Groovy", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 13, 74
"d:\flutterprojects\idea_ecommerce_app\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 47
"d:\flutterprojects\idea_ecommerce_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\flutterprojects\idea_ecommerce_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"d:\flutterprojects\idea_ecommerce_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutterprojects\idea_ecommerce_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutterprojects\idea_ecommerce_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutterprojects\idea_ecommerce_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutterprojects\idea_ecommerce_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\flutterprojects\idea_ecommerce_app\android\build.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\flutterprojects\idea_ecommerce_app\android\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\flutterprojects\idea_ecommerce_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\flutterprojects\idea_ecommerce_app\android\settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\flutterprojects\idea_ecommerce_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\flutterprojects\idea_ecommerce_app\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\flutterprojects\idea_ecommerce_app\lib\app_constants\app_strings.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 1, 26
"d:\flutterprojects\idea_ecommerce_app\lib\firebase_options.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 12, 5, 77
"d:\flutterprojects\idea_ecommerce_app\lib\main.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 14, 12, 109
"d:\flutterprojects\idea_ecommerce_app\lib\models\admin.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\flutterprojects\idea_ecommerce_app\lib\models\adres.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"d:\flutterprojects\idea_ecommerce_app\lib\models\degerlendirme.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"d:\flutterprojects\idea_ecommerce_app\lib\models\kampanya.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\flutterprojects\idea_ecommerce_app\lib\models\kayitliKart.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\flutterprojects\idea_ecommerce_app\lib\models\musteri.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 39, 12, 129
"d:\flutterprojects\idea_ecommerce_app\lib\models\satici.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\flutterprojects\idea_ecommerce_app\lib\models\sikayet.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\flutterprojects\idea_ecommerce_app\lib\models\siparis.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\flutterprojects\idea_ecommerce_app\lib\models\soru.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"d:\flutterprojects\idea_ecommerce_app\lib\models\urun.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 4, 6, 70
"d:\flutterprojects\idea_ecommerce_app\lib\providers\adreslerim_provider.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\flutterprojects\idea_ecommerce_app\lib\providers\basket_provider.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"d:\flutterprojects\idea_ecommerce_app\lib\providers\category_provider.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\flutterprojects\idea_ecommerce_app\lib\providers\favoriler_provider.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"d:\flutterprojects\idea_ecommerce_app\lib\providers\urun_ozellikleri_provider.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"d:\flutterprojects\idea_ecommerce_app\lib\providers\yeni_adres_olustur_provider.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\adreslerim.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 7, 100
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\anaSayfa_view.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 6, 18, 180
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\anaSayfa_view_model.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 9, 13, 57
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\arama_view.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 2, 16, 136
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\arama_view_model.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\degerlendirilenler_view.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 4, 3, 71
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\degerlendirmeBekleyenler_view.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 3, 97
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\favoriler_view.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 9, 91
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\hesap_view.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 18, 4, 124
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\hesap_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kartekle.dart", "Dart", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 16, 253
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kategoriSecilen.dart", "Dart", 0, 0, 514, 0, 0, 0, 0, 0, 0, 0, 3, 30, 547
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kategoriler_view.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 9, 87
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kategoriler_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kayitlikartlarim.dart", "Dart", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 20, 280
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kullanicisepet.dart", "Dart", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 22, 244
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\kullanicisepet_View_Model.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 7, 29
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\musteri_hesap_olusturma_view.dart", "Dart", 0, 0, 376, 0, 0, 0, 0, 0, 0, 0, 4, 20, 400
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\musteri_hesap_resetleme_view.dart", "Dart", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 10, 133
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\my_home_page.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 3, 13, 116
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\productsInCategoryView.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 9, 94
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\satinAlma_view.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 3, 4, 177
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\satinAlma_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\sikayet.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\siparislerim.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 12, 242
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\urun_ekrani_view.dart", "Dart", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 5, 15, 214
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\urun_ozellikleri.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\urun_ozellikleri_1.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\urun_ozellikleri_2.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\urun_ozellikleri_3.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\yeni_adres_olustur.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 4, 6, 184
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\yorum_yapma_view.dart", "Dart", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 6, 3, 145
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\yorumlar_view.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 88, 5, 185
"d:\flutterprojects\idea_ecommerce_app\lib\screens\musteri\yorumlar_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\flutterprojects\idea_ecommerce_app\lib\screens\sign_in.dart", "Dart", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 19, 9, 269
"d:\flutterprojects\idea_ecommerce_app\lib\services\auth.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35, 9, 79
"d:\flutterprojects\idea_ecommerce_app\lib\services\calculator.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 5, 26
"d:\flutterprojects\idea_ecommerce_app\lib\services\database.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 12, 22, 109
"d:\flutterprojects\idea_ecommerce_app\lib\utilities\route_helper.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\add_basket_button.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\loading_indicator.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\my_text_form_field.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 3, 41
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\on_board.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\page_appbar_title.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\product_container.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\flutterprojects\idea_ecommerce_app\lib\widgets\product_label_headline6.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\flutterprojects\idea_ecommerce_app\pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 26, 129
"d:\flutterprojects\idea_ecommerce_app\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\flutterprojects\idea_ecommerce_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 18, 12, 113
"d:\flutterprojects\idea_ecommerce_app\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\flutterprojects\idea_ecommerce_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 5, 12
"d:\flutterprojects\idea_ecommerce_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"d:\flutterprojects\idea_ecommerce_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 13, 62
"d:\flutterprojects\idea_ecommerce_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"d:\flutterprojects\idea_ecommerce_app\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"d:\flutterprojects\idea_ecommerce_app\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"d:\flutterprojects\idea_ecommerce_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"d:\flutterprojects\idea_ecommerce_app\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"d:\flutterprojects\idea_ecommerce_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 15, 48, 246
"d:\flutterprojects\idea_ecommerce_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 40, 8, 5269, 92, 12, 405, 123, 234, 13, 83, 570, 756, 7605